,city,lat,Lng,Max Temp,Date,Country,Wind speed,Humidity,Cloudiness
294,chimbote,-9.08,-78.59,66.24,1537381001,PE,7.52,87,0
295,balangiga,11.11,125.39,77.94,1537381001,PH,3.04,98,56
296,ober-ramstadt,49.83,8.75,80.6,1537379760,DE,5.82,47,0
297,matagami,9.67,8.4,72.9,1537381002,NG,2.71,96,20
298,lahaina,20.87,-156.68,71.96,1537378800,US,5.82,83,20
299,matara,-13.74,-72.9,37.4,1537376400,PE,8.05,328,0
300,kununurra,-15.77,128.74,69.8,1537380000,AU,5.82,73,0
301,ginda,30.69,78.49,53.37,1537381003,IN,2.48,75,0
302,thinadhoo,0.53,72.93,81.72,1537381003,MV,12.21,100,76
303,marsa matruh,31.35,27.25,78.8,1537376400,EG,10.29,74,0
304,cherskiy,68.75,161.3,34.56,1537381003,RU,2.71,89,56
305,wanaka,-44.7,169.14,20.79,1537381004,NZ,2.71,81,20
306,mount gambier,-37.83,140.78,44.01,1537381004,AU,3.6,90,100
307,erzin,36.95,36.2,80.6,1537379400,TR,18.34,65,40
308,gladstone,-23.84,151.26,57.42,1537381005,AU,3.6,100,0
309,mobaye,4.33,21.18,70.74,1537381005,CF,5.5,97,36
310,nouadhibou,20.93,-17.03,89.6,1537376400,MR,11.41,49,80
311,anloga,5.79,0.9,80.37,1537381006,GH,4.94,81,20
312,elizabeth city,36.3,-76.22,89.06,1537379940,US,13.87,53,1
313,luderitz,-26.65,15.16,59.22,1537381006,NA,29.1,62,20
314,bilibino,68.06,166.44,34.65,1537381006,RU,2.15,100,88
315,egvekinot,66.32,-179.17,27.9,1537381007,RU,2.04,97,48
316,karasuk,53.73,78.03,49.59,1537381007,RU,13.78,52,68
317,beringovskiy,63.05,179.32,47.07,1537381007,RU,8.19,96,88
318,saskylakh,71.97,114.09,28.89,1537381007,RU,6.51,87,68
319,okhotsk,59.36,143.24,47.43,1537381008,RU,9.19,95,92
320,vila velha,-3.71,-38.6,87.8,1537380000,BR,19.46,48,20
321,baruun-urt,46.68,113.28,50.31,1537381008,MN,12.55,100,76
322,chapais,49.78,-74.86,51.8,1537380000,CA,4.7,66,75
323,coihaique,-45.58,-72.07,50.0,1537376400,CL,9.17,53,40
324,blagoveshchenka,52.83,79.87,49.5,1537381009,RU,14.12,83,20
325,marzuq,14.4,46.47,64.89,1537381009,YE,2.15,39,0
326,los llanos de aridane,28.66,-17.92,75.2,1537380000,ES,9.17,83,20
327,kruisfontein,-34.0,24.73,53.55,1537381010,ZA,15.23,100,92
328,sao filipe,14.9,-24.5,80.37,1537381010,CV,4.38,89,24
329,haines junction,60.75,-137.51,41.04,1537381010,CA,2.48,70,68
330,rantepao,-2.97,119.9,64.53,1537381011,ID,1.7,100,56
331,tura,25.52,90.21,83.43,1537381011,IN,6.62,74,20
332,vavoua,7.38,-6.48,74.61,1537381012,CI,2.48,96,48
333,mnogovershinnyy,53.94,139.92,46.89,1537381012,RU,8.75,74,80
334,severnoye,54.09,52.54,48.15,1537380976,RU,13.11,90,44
335,botshabelo,-29.23,26.73,59.0,1537376400,ZA,12.75,30,0
336,lang son,21.83,106.73,69.84,1537381013,VN,2.15,95,0
337,whitehorse,60.72,-135.06,35.6,1537376400,CA,3.15,80,75
338,srednekolymsk,67.46,153.71,36.0,1537381013,RU,4.5,99,88
339,temuco,-38.74,-72.59,49.14,1537380888,CL,5.95,98,92
340,acapulco,16.86,-99.88,87.8,1537375860,MX,4.7,70,75
341,derzhavinsk,51.1,66.31,54.45,1537381014,KZ,7.18,64,20
342,pochutla,15.74,-96.47,89.6,1537379040,MX,17.22,62,90
343,moerewa,-35.39,174.02,54.99,1537381015,NZ,10.2,97,92
344,caravelas,-17.73,-39.27,77.04,1537381015,BR,18.03,98,32
345,mandalgovi,45.76,106.27,32.67,1537381015,MN,20.04,62,0
346,ola,59.58,151.3,50.0,1537376400,RU,4.47,87,92
347,sao jose da coroa grande,-8.9,-35.15,79.2,1537381016,BR,12.44,80,76
348,college,64.86,-147.8,46.94,1537379580,US,4.05,92,75
349,aswan,24.09,32.9,95.0,1537376400,EG,6.93,19,0
350,belaya kholunitsa,58.84,50.85,47.52,1537381017,RU,15.79,85,56
351,pirgos,35.12,25.72,73.4,1537379400,GR,13.87,78,40
352,mount isa,-20.73,139.49,62.6,1537380000,AU,18.34,45,0
353,strezhevoy,60.73,77.6,48.2,1537378200,RU,8.95,70,0
